iteration,x1,x2,residual_1,residual_2,residual_norm,step_norm
0,1e-06,1e-06,-9.8e-11,0.0,9.8e-11,6.929646455628167e-06
1,5.9e-06,5.9e-06,-3.038e-11,0.0,3.038e-11,2.148190401244732e-06
2,7.4190000000000005e-06,7.4190000000000005e-06,1.0083122000000011e-11,0.0,1.0083122000000011e-11,7.129843941731272e-07
3,6.9148439e-06,6.9148439e-06,-4.369867677265592e-12,0.0,4.369867677265592e-12,3.089963067482411e-07
4,7.13333728386328e-06,7.13333728386328e-06,1.7690016107078946e-12,0.0,1.7690016107078946e-12,1.2508730348614747e-07
5,7.044887203327885e-06,7.044887203327885e-06,-7.391285847740185e-13,0.0,7.391285847740185e-13,5.226428344625214e-08
6,7.081843632566586e-06,7.081843632566586e-06,3.0501847224779337e-13,0.0,3.0501847224779337e-13,2.156806301135808e-08
7,7.066592708954196e-06,7.066592708954196e-06,-1.2653497151080143e-13,0.0,1.2653497151080143e-13,8.947373641252919e-09
8,7.0729194575297355e-06,7.0729194575297355e-06,5.237930540544701e-14,0.0,5.237930540544701e-14,3.7037762046027405e-09
9,7.0703004922594635e-06,7.0703004922594635e-06,-2.170189831117556e-14,0.0,2.170189831117556e-14,1.5345559460455993e-09
10,7.0713855871750225e-06,7.0713855871750225e-06,8.988245013268314e-15,0.0,8.988245013268314e-15,6.355648999848417e-10
11,7.070936174924359e-06,7.070936174924359e-06,-3.723220292152992e-15,0.0,3.723220292152992e-15,2.6327143164322274e-10
12,7.071122335938967e-06,7.071122335938967e-06,1.542179629893926e-15,0.0,1.542179629893926e-15,1.0904856741094401e-10
13,7.071045226957472e-06,7.071045226957472e-06,-6.387966439154005e-16,0.0,6.387966439154005e-16,4.51697438706442e-11
14,7.071077166789667e-06,7.071077166789667e-06,2.64597388362272e-16,0.0,2.64597388362272e-16,1.8709860759269206e-11
15,7.071063936920249e-06,7.071063936920249e-06,-1.0959997180988047e-16,0.0,1.0959997180988047e-16,7.749888327886545e-12
16,7.071069416918839e-06,7.071069416918839e-06,4.5397769863265867e-17,0.0,4.5397769863265867e-17,3.210107092116394e-12
17,7.071067147030346e-06,7.071067147030346e-06,-1.880437624865739e-17,0.0,1.880437624865739e-17,1.3296701966210963e-12
18,7.071068087249159e-06,7.071068087249159e-06,7.789026956076316e-18,0.0,7.789026956076316e-18,5.507673780752695e-13
19,7.071067697797811e-06,7.071067697797811e-06,-3.226320733842321e-18,0.0,3.226320733842321e-18,2.281353266714364e-13
20,7.0710678591138475e-06,7.0710678591138475e-06,1.3363857727350087e-18,0.0,1.3363857727350087e-18,9.449674389856431e-14
21,7.071067792294559e-06,7.071067792294559e-06,-5.535490978994242e-19,0.0,5.535490978994242e-19,3.914183168699493e-14
22,7.071067819972014e-06,7.071067819972014e-06,2.2928752523737207e-19,0.0,2.2928752523737207e-19,1.6213076930918005e-14
23,7.071067808507637e-06,7.071067808507637e-06,-9.497400865058884e-20,0.0,9.497400865058884e-20,6.715676627273437e-15
24,7.0710678132563376e-06,7.0710678132563376e-06,3.933952086089145e-20,0.0,3.933952086089145e-20,2.7817236763711313e-15
25,7.071067811289362e-06,7.071067811289362e-06,-1.629495400410887e-20,0.0,1.629495400410887e-20,1.1522268787602114e-15
26,7.071067812104109e-06,7.071067812104109e-06,6.7495870032795676e-21,0.0,6.7495870032795676e-21,0.0
