======================================================================
         多元非线性方程组求解结果报告
======================================================================

生成时间: 2026-05-23 22:25:48

----------------------------------------------------------------------
方程组:
----------------------------------------------------------------------
  f1(x, y) = sin(x) + y**2 - 2
  f2(x, y) = x**2 - y - 1

----------------------------------------------------------------------
求解结果摘要:
----------------------------------------------------------------------
  状态:         max_iterations
  迭代次数:     100
  残差范数:     3.5771966594e+03
  消息:         达到最大迭代次数 (100)

  解:
    x = -6.2756196672
    y = -59.8150566785

----------------------------------------------------------------------
迭代历史:
----------------------------------------------------------------------
    迭代              x              y           残差范数             步长
     0       1.000000       1.000000   1.012488e+00   1.012488e+00
     1       1.158529       2.000000   3.354496e+00   6.095210e+00
     2       0.257656      -4.028268   1.480872e+01   4.975811e+00
     3       0.975444       0.895498   1.013977e+00   7.844755e-01
     4       0.855403       0.120262   1.290580e+00   1.056470e+00
     5       0.702378      -0.925067   6.505994e-01   3.973574e-01
     6       0.762721      -0.532318   1.032068e+00   4.948922e-02
     7       0.758768      -0.581649   9.862930e-01   7.929286e-02
     8       0.768485      -0.502954   1.056139e+00   4.277406e-02
     9       0.766789      -0.545695   1.017211e+00   9.242481e-02
    10       0.773753      -0.453532   1.096728e+00   3.538135e-02
    11       0.774504      -0.488906   1.065314e+00   1.069617e-01
    12       0.775380      -0.381948   1.154251e+00   2.938613e-02
    13       0.778355      -0.411183   1.128948e+00   1.212297e-01
    14       0.769016      -0.290313   1.226011e+00   2.523736e-02
    15       0.773915      -0.315071   1.204862e+00   1.314107e-01
    16       0.751080      -0.185659   1.307272e+00   2.305428e-02
    17       0.757753      -0.207727   1.288154e+00   1.342374e-01
    18       0.721313      -0.078530   1.392503e+00   2.229562e-02
    19       0.729748      -0.099168   1.373774e+00   1.317731e-01
    20       0.682049       0.023669   1.478583e+00   2.225675e-02
    21       0.692230       0.003877   1.459319e+00   1.285620e-01
    22       0.635348       0.119171   1.565426e+00   2.254243e-02
    23       0.647214       0.100004   1.545245e+00   1.270259e-01
    24       0.582063       0.209050   1.654001e+00   2.299147e-02
    25       0.595540       0.190422   1.632877e+00   1.279318e-01
    26       0.522078       0.295160   1.745181e+00   2.352757e-02
    27       0.537086       0.277041   1.723352e+00   1.316932e-01
    28       0.454436       0.379569   1.839530e+00   2.408483e-02
    29       0.470882       0.361973   1.817481e+00   1.390589e-01
    30       0.377131       0.464677   1.937375e+00   2.455713e-02
    31       0.394867       0.447692   1.915876e+00   1.517983e-01
    32       0.286302       0.553788   2.038854e+00   2.470623e-02
    33       0.305014       0.537656   2.019104e+00   1.745306e-01
    34       0.173769       0.652703   2.143726e+00   2.385306e-02
    35       0.192621       0.638088   2.127700e+00   2.230187e-01
    36       0.017187       0.775785   2.249321e+00   1.922564e-02
    37       0.033095       0.764988   2.240631e+00   4.106320e-01
    38      -0.305980       0.996606   2.309159e+00   1.911940e-02
    39      -0.321081       1.008333   2.305855e+00   3.164022e-01
    40      -0.070486       0.815168   2.292042e+00   1.852576e-02
    41      -0.084462       0.827329   2.296257e+00   2.314917e-01
    42       0.090913       0.676226   2.211378e+00   1.811197e-02
    43       0.077937       0.688862   2.219764e+00   1.850924e-01
    44       0.211342       0.560556   2.115777e+00   1.689790e-02
    45       0.199972       0.573056   2.126011e+00   1.644654e-01
    46       0.311509       0.452192   2.013366e+00   1.533312e-02
    47       0.301995       0.464216   2.023999e+00   1.559531e-01
    48       0.399721       0.342680   1.905133e+00   1.347408e-02
    49       0.392251       0.353894   1.915099e+00   1.571790e-01
    50       0.480444       0.223789   1.788676e+00   1.113520e-02
    51       0.475278       0.233653   1.796997e+00   1.731353e-01
    52       0.556793       0.080908   1.655433e+00   7.660503e-03
    53       0.554406       0.088187   1.660785e+00   2.383431e-01
    54       0.630055      -0.137832   1.467500e+00   1.430038e-03
    55       0.631479      -0.137708   1.465911e+00   1.623323e+00
    56       2.248800       0.001754   4.235222e+00   2.613880e+00
    57       4.853891       0.215928   2.253736e+01   1.138996e+01
    58      -6.499542      -0.695594   4.197533e+01   6.772393e+00
    59       0.252057      -0.165292   1.887965e+00   3.505584e+00
    60      -3.242117      -0.447895   1.010311e+01   3.413835e+00
    61      -6.644179      -0.731177   4.391396e+01   2.424864e+00
    62      -4.226974      -0.538608   1.742547e+01   1.255252e+00
    63      -2.975569      -0.440404   8.525454e+00   8.633364e-01
    64      -3.835800      -0.513568   1.426912e+01   9.483766e-02
    65      -3.740994      -0.511083   1.355711e+01   7.732175e-01
    66      -4.513836      -0.535198   1.992341e+01   8.940158e-02
    67      -4.602933      -0.542569   2.074177e+01   1.086512e+00
    68      -3.519408      -0.462059   1.193280e+01   3.566102e-01
    69      -3.874057      -0.499411   1.454801e+01   3.096141e-01
    70      -3.565121      -0.478926   1.226461e+01   3.430221e-01
    71      -3.906594      -0.511488   1.480994e+01   2.743362e-01
    72      -3.632652      -0.496801   1.275750e+01   4.207792e-01
    73      -4.052243      -0.528401   1.597621e+01   2.472775e-01
    74      -3.805101      -0.520196   1.404321e+01   5.877133e-01
    75      -4.392183      -0.547435   1.885368e+01   1.980669e-01
    76      -4.194116      -0.547352   1.715813e+01   1.912787e+00
    77      -6.106896      -0.552738   3.687821e+01   4.314880e+00
